guide_id,tag_id
8117,7
8134,19
8135,19
8136,19
8137,19
8139,19
8141,19
8142,19
8143,19
8146,23
8146,1284
8146,1819
8146,7
8146,1293
8146,1822
8146,1823
8148,19
8149,19
8150,19
8153,7
8154,7
8157,19
8157,7
8158,19
8160,19
8161,19
8161,7
8162,19
8163,19
8165,19
8166,19
8167,19
8171,19
8184,1841
8184,1842
8184,1843
8184,1844
8185,1845
8185,1390
8185,1847
8188,19
8193,19
8193,7
8196,19
8197,19
8199,19
8201,19
8202,19
8211,19
8219,19
8234,7
8237,7
8240,7
8251,19
8257,19
8258,19
8267,7
8272,7
8280,19
8282,19
8288,19
8290,19
8291,19
8292,7
8294,19
8307,19
8308,19
8309,19
8310,19
8315,19
8315,7
8316,19
8317,19
8321,7
8322,7
8323,19
8324,7
8325,19
8331,1886
8331,1887
8331,576
8332,1886
8332,1887
8332,576
8333,1886
8333,1887
8333,214
8333,215
8333,576
8334,1886
8334,1887
8334,214
8334,576
8335,1901
8335,1902
8335,1886
8335,1904
8335,576
8336,7
8337,7
8338,7
8352,1909
8352,576
8358,129
8358,131
8358,132
8358,256
8359,576
8359,1916
8359,1486
8361,1918
8361,1193
8361,1920
8361,1921
8361,1922
8361,1923
8361,1924
8362,129
8362,131
8362,1
8362,2
8362,132
8363,129
8363,131
8363,259
8363,262
8364,129
8364,131
8364,132
8364,237
8366,7
8367,7
8372,19
8374,19
8374,7
8375,19
8379,19
8391,7
8400,19
8401,19
8402,19
8403,19
8404,19
8405,19
8408,19
8409,1241
8409,162
8409,1955
8413,7
8427,7
8428,1958
8428,23
8428,1960
8428,1103
8429,1958
8429,1103
8429,262
8429,1284
8430,1966
8430,1103
8430,1284
8430,162
8431,1958
8431,1103
8431,1284
8431,298
8432,1958
8432,1103
8432,1284
8432,162
8433,1958
8433,1
8433,1980
8433,2
8433,1103
8433,1284
8434,1958
8434,505
8434,507
8434,1103
8434,1284
8434,1989
8435,1958
8435,23
8435,643
8435,1960
8435,1103
8436,1958
8436,1960
8436,1103
8436,1704
8436,1999
8437,1958
8437,668
8437,1960
8437,1103
8438,19
8439,19
8445,1958
8445,1103
8445,2008
8446,1958
8446,805
8446,1103
8446,237
8447,1958
8447,1960
8447,1103
8447,233
8450,19
8450,7
8451,7
8456,2020
8456,2021
8456,2022
8456,2023
8456,2024
8456,2025
8456,2026
8456,2027
8456,4
8456,2029
8458,5
8466,5
8479,2032
8482,7
8483,19
8483,7
8484,19
8485,7
8518,2038
8518,381
8518,576
8532,1652
8554,7
8555,19
8571,2044
8571,2045
8571,2046
8571,2047
8571,312
8571,2049
8571,2050
8571,2051
8571,2052
8571,2053
8571,2054
8571,2055
8571,2056
8571,2057
8573,2058
8621,2059
8621,1260
8621,325
8621,2062
8627,2063
8639,2063
8657,2065
8657,2066
8657,1284
8657,1241
8657,111
8657,281
8666,7
8683,7
8689,7
8695,7
8699,2075
8700,7
8707,7
8717,2078
8742,7
8743,7
8773,7
8780,7
8805,1026
8805,2084
8805,2085
8806,7
8809,7
8823,1265
8823,2089
8834,7
8836,7
8840,5
8889,626
8889,2094
8889,733
8889,2096
8889,381
8889,2098
8911,7
8920,2100
8920,2101
8920,2102
8920,2103
8920,576
8920,2105
8921,5
8922,5
8926,2108
8926,2109
8926,86
8928,2111
8928,2112
8928,2113
8933,2114
8942,7
8944,2116
8944,2117
8944,788
8944,906
8946,7
8975,5
8980,7
8981,7
8982,7
8983,7
8990,2126
8990,2127
8990,2128
8990,1103
8990,1284
8990,2131
8990,2132
8992,7
8992,2134
9022,1458
9022,2136
9022,2137
9022,2138
9022,2139
9028,7
9031,7
9036,7
9037,7
9038,7
9041,7
9042,5
9054,5
9055,5
9085,7
9088,7
9092,7
9094,7
9096,2153
9096,2154
9096,2155
9096,2156
9096,2157
9097,7
9098,7
9111,5
9112,736
9112,2162
9112,618
9115,7
9119,7
9135,5
9141,7
9147,19
9148,19
9154,7
9155,7
9156,7
9158,19
9173,2174
9181,7
9182,7
9187,7
9197,7
9212,19
9213,19
9225,19
9246,19
9246,7
9247,7
9248,19
9248,7
9249,7
9250,7
9253,7
9254,7
9258,5
9260,19
9276,1265
9276,2194
9277,1265
9277,2089
9277,2197
9278,1265
9278,2199
9279,1265
9279,2201
9282,1265
9282,2089
9283,1265
9283,2205
9284,1265
9284,2207
9285,1265
9285,2089
9286,1265
9286,2211
9288,1265
9288,2213
9289,1265
9289,2213
9290,1265
9290,2211
9291,1265
9291,2211
9292,1265
9292,2221
9293,1265
9293,2221
9295,7
9295,1265
9295,2221
9296,1264
9296,1265
9296,1267
9296,1268
9297,7
9297,1265
9297,2221
9298,7
9298,1265
9298,2221
9299,2237
9299,1265
9299,2221
9300,1265
9300,2241
9301,1265
9301,2241
9302,1265
9302,2205
